dataset,methods,evaluate side,latency,AP,ATE,ASE,AOE,AVE,AMOTA,AMOTP,RECALL,MOTAR,GT,MOTA,MOTP,MT,ML,FAF,TP,FP,FN,IDS,FRAG,TID,LGD
50scenes_25m,early fusion,cooperative,0,0.626,0.385,0.136,0.795,3.719,0.653,0.869,0.708,0.905,8320,0.637,0.469,34,16,37.2,5854,555,2428,38,55,5.1,11.37
50scenes_25m,early fusion,cooperative,200,0.51,0.502,0.134,0.776,3.697,0.561,1.044,0.637,0.847,8210,0.536,0.589,25,21,54,5193,794,2983,34,79,6.47,13.91
50scenes_25m,early fusion,cooperative,400,0.416,0.522,0.134,0.714,3.538,0.418,1.189,0.525,0.674,8100,0.352,0.554,19,32,94.8,4224,1375,3850,26,87,7.75,15.37
50scenes_25m,instance fusion,cooperative,0,0.412,0.484,0.147,0.708,3.412,0.435,1.13,0.544,0.711,8320,0.385,0.559,21,35,87.5,4505,1304,3792,23,100,6.33,14.27
50scenes_25m,instance fusion,cooperative,200,0.396,0.484,0.146,0.705,3.398,0.41,1.165,0.523,0.66,8210,0.343,0.542,16,36,98.9,4274,1454,3916,20,92,6.78,16.66
50scenes_25m,instance fusion,cooperative,400,0.373,0.505,0.143,0.709,3.322,0.366,1.212,0.478,0.629,8100,0.3,0.539,15,40,98.6,3856,1429,4232,12,89,6.09,16.63
50scenes_25m,late fusion,cooperative,0,0.377,0.357,0.697,0.511,2.921,0.369,1.078,0.349,0.744,8320,0.258,0.392,14,55,49.7,2886,740,5418,16,25,9.64,21.45
50scenes_25m,late fusion,cooperative,200,0.363,0.362,0.697,0.498,2.908,0.357,1.06,0.342,0.694,8210,0.237,0.36,15,55,58.2,2798,856,5401,11,26,10.56,21.57
50scenes_25m,late fusion,cooperative,400,0.339,0.35,0.695,0.458,2.89,0.31,1.129,0.329,0.616,8100,0.202,0.354,15,58,70.3,2656,1019,5433,11,30,11.28,21.33
50scenes_25m,vehicle side,cooperative,0,0.366,0.398,0.106,0.492,3.092,0.363,1.295,0.407,0.778,8320,0.316,0.423,16,49,50.5,3381,752,4934,5,44,6.34,18.54
50scenes_25m,drone side,drone side,0,0.338,0.94,0.234,1.095,3.512,0.343,1.473,0.489,0.669,8531,0.325,0.924,17,32,91.9,4142,1369,4362,27,94,6.17,18.87
50scenes_25m,vehicle side,vehicle side,0,0.467,0.344,0.088,0.422,3.107,0.454,1.114,0.52,0.73,6932,0.379,0.438,20,37,65.2,3597,972,3329,6,49,6.24,12.99
50scenes_40m,early fusion,cooperative,0,0.495,0.502,0.161,0.587,3.154,0.543,1.041,0.64,0.848,11438,0.54,0.584,37,34,74,7280,1103,4120,38,95,4.02,11.47
50scenes_40m,instance fusion,cooperative,0,0.359,0.593,0.166,0.433,2.973,0.397,1.223,0.505,0.676,11438,0.339,0.612,29,56,124.8,5740,1859,5657,41,107,6.01,14.64
50scenes_40m,late fusion,cooperative,0,0.354,0.408,0.71,0.244,3.048,0.387,1.121,0.394,0.683,11438,0.268,0.507,23,82,95.4,4482,1421,6935,21,57,3.93,16.22
50scenes_40m,vehicle side,cooperative,0,0.351,0.489,0.118,0.378,2.856,0.371,1.322,0.427,0.821,11438,0.349,0.524,25,74,58.7,4870,874,6550,18,61,7.72,15.92
50scenes_40m,drone side,drone side,0,0.233,1.02,0.269,0.7,3.015,0.178,1.581,0.34,0.429,11889,0.144,0.982,9,68,153.6,4005,2288,7846,38,137,9.8,20.32
50scenes_40m,vehicle side,vehicle side,0,0.448,0.437,0.099,0.327,2.895,0.444,1.188,0.496,0.821,9749,0.406,0.516,26,56,57.9,4817,863,4914,18,56,6.73,13.77
100scenes_random,early fusion,cooperative,0,0.58,0.453,0.127,0.455,3.011,0.646,0.908,0.705,0.86,21683,0.604,0.557,98,45,64.9,15216,2127,6396,71,146,5.15,10.53
100scenes_random,instance fusion,cooperative,0,0.408,0.441,0.121,0.377,2.933,0.426,1.133,0.544,0.668,21683,0.361,0.52,59,84,118.8,11730,3894,9886,67,147,9.04,16.11
100scenes_random,late fusion,cooperative,0,0.375,0.335,0.703,0.255,3.512,0.394,1.082,0.408,0.722,21683,0.294,0.409,49,123,74.9,8826,2456,12831,26,68,9.63,16.43
100scenes_random,vehicle side,cooperative,0,0.465,0.391,0.106,0.296,2.836,0.491,1.107,0.566,0.788,21683,0.443,0.515,60,78,78.9,12196,2586,9407,80,187,7.76,13.87
100scenes_random,drone side,drone side,0,0.093,1.229,0.322,0.69,2.398,0,1.853,0.25,0,21029,0,1.167,8,130,378.6,5068,12412,15781,180,302,13.3,24.79
100scenes_random,vehicle side,vehicle side,0,0.595,0.347,0.095,0.267,2.838,0.589,0.926,0.635,0.831,17911,0.526,0.485,60,63,58.4,11333,1915,6536,42,136,7.06,12.41
